Date,Amazon Quarterly Revenue($),Amazon Quarterly Gross Profit($),Amazon Quarterly Operating Income($),Quarterly Income After Taxes($),Quarterly Income from Continuous Operations($),Quarterly Net Income($), Quarterly EBITDA($), Quarterly EBIT($), Quarterly Basic EPS($),Quarterly Basic EPS($)
31-03-2022,116444,49945,3669,3843,3844,3844,12647,3669,0.38,0.38
31-12-2021,137412,54577,3460,14322,14323,14323,13262,3460,1.41,1.39
30-09-2021,110812,47882,4852,3160,3156,3156,13800,4852,0.31,0.31
30-06-2021,113080,48904,7702,7766,7778,7778,15740,7702,0.77,0.76
31-03-2021,108518,46115,8865,8112,8107,8107,16373,8865,0.81,0.79
31-12-2020,125555,46271,6873,7199,7222,7222,14491,6873,0.72,0.71
30-09-2020,96145,39039,6194,6240,6331,6331,12717,6194,0.63,0.62
30-06-2020,88912,36252,5843,5237,5243,5243,11591,5843,0.53,0.52
31-03-2020,75452,31195,3989,2639,2535,2535,9351,3989,0.26,0.25
31-12-2019,87437,33460,3880,3267,3268,3268,10050,3880,0.33,0.32
30-09-2019,69981,28679,3157,2138,2134,2134,8720,3157,0.22,0.21
30-06-2019,63404,27067,3084,2632,2625,2625,8286,3084,0.27,0.26
31-03-2019,59700,25780,4420,3565,3561,3561,9274,4420,0.36,0.36
31-12-2018,72383,27597,3787,3022,3027,3027,8049,3787,0.31,0.3
30-09-2018,56576,23573,3724,2882,2883,2883,7502,3724,0.3,0.29
30-06-2018,52886,22254,2983,2531,2534,2534,6613,2983,0.26,0.25
31-03-2018,51042,20307,1927,1629,1629,1629,5598,1927,0.17,0.16
31-12-2017,60453,21959,2126,1856,1856,1856,5624,2126,0.19,0.19
30-09-2017,43744,16195,347,258,256,256,3259,347,0.03,0.03
30-06-2017,37955,14504,628,199,197,197,3261,628,0.02,0.02
31-03-2017,35714,13274,1005,724,724,724,3440,1005,0.08,0.07
31-12-2016,43741,14782,1255,752,749,749,3552,1255,0.08,0.08
30-09-2016,32714,11454,575,262,252,252,2658,575,0.03,0.03
30-06-2016,30404,11224,1285,872,857,857,3194,1285,0.09,0.09
31-03-2016,29128,10262,1071,581,513,513,2898,1071,0.06,0.05
31-12-2015,35746,11405,1108,486,482,482,2860,1108,0.05,0.05
30-09-2015,25358,8603,406,86,79,79,2005,406,0.01,0.01
30-06-2015,23185,8025,464,96,92,92,1968,464,0.01,0.01
31-03-2015,22717,7322,255,50,57,57,1681,255,0.01,0.01
31-12-2014,29328,8657,591,225,214,214,1971,591,0.02,0.02
30-09-2014,20579,5952,544,429,437,437,703,544,0.05,0.05
30-06-2014,19340,5941,15,121,126,126,1094,15,0.01,0.01
31-03-2014,19741,5686,146,47,108,108,1156,146,0.01,0.01
31-12-2013,25586,6781,510,273,240,240,1472,510,0.03,0.03
30-09-2013,17092,4726,25,31,41,41,809,25,0.01,0.01
30-06-2013,15704,4495,79,4,7,7,836,79,0,0
31-03-2013,16070,4269,181,99,82,82,881,181,0.01,0.01
31-12-2012,21268,5131,405,143,98,98,1067,405,0.01,0.01
30-09-2012,13806,3487,28,105,274,274,527,28,0.03,0.03
30-06-2012,12834,3346,107,37,7,7,592,107,0,0
31-03-2012,13185,3158,192,41,130,130,649,192,0.02,0.01
31-12-2011,17431,3601,260,186,176,176,619,260,0.02,0.02
30-09-2011,10876,2551,79,63,63,63,357,79,0.01,0.01
30-06-2011,9913,2388,201,176,191,191,445,201,0.02,0.02
31-03-2011,9857,2249,322,218,201,201,524,322,0.02,0.02
31-12-2010,12947,2630,474,422,415,415,643,474,0.05,0.05
30-09-2010,7560,1774,268,213,231,231,418,268,0.03,0.03
30-06-2010,6566,1609,270,209,207,207,400,270,0.02,0.02
31-03-2010,7131,1630,394,301,299,299,513,394,0.03,0.03
31-12-2009,9520,1977,475,387,384,384,587,475,0.04,0.04
30-09-2009,5449,1273,251,202,199,199,346,251,0.02,0.02
30-06-2009,4651,1133,159,140,142,142,243,159,0.02,0.02
31-03-2009,4889,1148,244,179,177,177,331,244,0.02,0.02
