Amazon Price/Book Ratio Historical Data,,,
Date,Stock Price,Book Value per Share,Price to Book Ratio
7/19/2022,118.21,,8.98
3/31/2022,163,$13.16 ,12.38
12/31/2021,166.72,$13.58 ,12.28
9/30/2021,164.25,$11.89 ,13.81
6/30/2021,172.01,$11.34 ,15.16
3/31/2021,154.7,$10.25 ,15.09
12/31/2020,162.85,$9.28 ,17.54
9/30/2020,157.44,$8.24 ,19.1
6/30/2020,137.94,$7.36 ,18.75
3/31/2020,97.49,$6.54 ,14.91
12/31/2019,92.39,$6.23 ,14.83
9/30/2019,86.8,$5.71 ,15.21
6/30/2019,94.68,$5.37 ,17.63
3/31/2019,89.04,$4.92 ,18.1
12/31/2018,75.1,$4.43 ,16.93
9/30/2018,100.15,$4.00 ,25.03
6/30/2018,84.99,$3.59 ,23.65
3/31/2018,72.37,$3.24 ,22.31
12/31/2017,58.47,$2.86 ,20.43
9/30/2017,48.07,$2.56 ,18.79
6/30/2017,48.4,$2.42 ,20.02
3/31/2017,44.33,$2.27 ,19.55
12/31/2016,37.49,$2.02 ,18.55
9/30/2016,41.87,$1.87 ,22.37
6/30/2016,35.78,$1.74 ,20.51
3/31/2016,29.68,$1.56 ,18.99
12/31/2015,33.79,$1.42 ,23.79
9/30/2015,25.58,$1.33 ,19.31
6/30/2015,21.7,$1.26 ,17.26
3/31/2015,18.61,$1.17 ,15.95
12/31/2014,15.52,$1.15 ,13.44
9/30/2014,16.12,$1.12 ,14.44
6/30/2014,16.24,$1.15 ,14.15
3/31/2014,16.82,$1.12 ,14.98
12/31/2013,19.94,$1.06 ,18.78
9/30/2013,15.63,$0.99 ,15.76
6/30/2013,13.88,$0.96 ,14.53
3/31/2013,13.32,$0.93 ,14.38
12/31/2012,12.54,$0.90 ,13.9
9/30/2012,12.72,$0.83 ,15.25
6/30/2012,11.42,$0.83 ,13.75
3/31/2012,10.13,$0.81 ,12.53
12/31/2011,8.66,$0.85 ,10.15
9/30/2011,10.81,$0.85 ,12.67
6/30/2011,10.22,$0.86 ,11.96
3/31/2011,9.01,$0.81 ,11.08
12/31/2010,9,$0.76 ,11.83
9/30/2010,7.85,$0.71 ,11.02
6/30/2010,5.46,$0.65 ,8.36
3/31/2010,6.79,$0.63 ,10.78
12/31/2009,6.73,$0.59 ,11.36
9/30/2009,4.67,$0.41 ,11.28
6/30/2009,4.18,$0.38 ,11.1
3/31/2009,3.67,$0.34 ,10.8
